DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7121801,3,1,1,1,4,4,2
7121802,3,1,1,1,6,4,2
7121805,3,1,1,1,4,4,2
7121806,3,1,1,5,5,4,1
7121810,3,1,1,1,4,4,1
7121811,3,1,1,1,6,4,1
7121812,3,1,1,1,6,4,1
7121813,3,1,1,1,6,4,1
7121814,3,1,1,1,6,4,1
7121816,3,1,1,1,6,4,1
7121817,3,1,1,1,6,4,1
7121819,3,1,1,1,6,4,2
7121820,3,1,1,1,7,4,3
7121822,3,1,2,1,4,4,3
7121823,3,1,1,1,4,4,3
7121825,3,1,2,1,4,4,3
7121826,3,1,2,1,6,4,2
7121827,3,1,1,5,6,4,1
7121828,3,1,1,5,5,4,1
7121829,3,1,1,5,7,4,1
7121830,3,1,1,5,5,4,1
7121831,3,1,2,1,6,4,1
7121832,3,1,1,1,6,4,1
7121833,3,1,1,1,6,4,1
7121834,3,1,2,1,4,4,2
7121835,3,1,1,1,4,3,3
7121836,3,1,1,1,6,4,3
7121837,3,1,1,1,6,4,3
7121838,3,1,2,1,6,4,3
7121839,3,1,2,1,6,4,3
7121840,3,1,2,1,4,4,3
7121841,3,1,1,5,6,4,1
7121842,3,1,1,1,6,3,3
7121843,3,1,2,1,6,4,1
7121844,3,1,1,1,4,4,1
7121845,3,1,1,1,4,4,1
7121846,3,1,1,1,6,4,1
7121847,3,1,1,1,4,4,1
7121848,3,1,1,1,6,4,1
7121849,3,1,1,1,4,4,1
7121850,3,1,1,1,6,4,1
7121853,3,1,1,1,6,4,2
7121854,3,1,1,1,6,4,3
7121855,3,1,3,1,4,4,9
7121856,3,1,1,1,4,4,1
7121857,3,1,1,1,6,4,1
7121859,3,1,1,1,4,4,2
7121860,3,1,1,1,4,4,2
7121862,3,1,1,1,6,4,1
7121863,3,1,1,1,6,4,1
7121864,3,1,1,1,4,4,1
7121866,3,1,1,1,4,4,1
7121867,3,1,1,1,4,4,1
7121868,3,1,1,1,6,4,1
7121869,3,1,1,1,4,4,1
7121870,3,1,1,1,6,4,1
7121871,3,1,1,1,6,1,2
7121874,3,1,1,1,6,4,2
7121875,3,1,3,1,4,4,1
7121876,3,1,1,1,6,4,2
7121877,3,1,2,1,6,4,1
7121878,3,1,1,5,6,4,1
7121879,3,1,2,1,6,4,1
7121880,3,1,1,5,6,4,1
7121881,3,1,2,1,7,4,1
7121883,3,1,2,1,6,4,0
7121884,3,1,1,1,6,4,1
7121888,3,2,1,1,6,4,1
7121889,3,2,1,5,6,4,1
7121890,3,2,1,5,5,4,1
7121892,3,2,1,5,6,4,1
7121893,3,2,1,5,6,4,1
7121894,3,2,1,1,6,4,2
7121895,3,2,1,5,5,4,1
7121896,3,2,2,1,6,4,1
7121897,3,1,1,5,7,4,1
7121898,3,1,1,1,6,4,1
7121899,3,1,2,1,6,4,1
7121901,3,1,1,1,6,4,1
7121902,3,1,1,1,6,4,1
7121903,3,1,1,8,6,4,1
7121904,3,1,2,1,6,4,1
7121905,3,1,1,1,6,4,1
7121906,3,1,2,1,6,4,2
7121907,3,1,1,1,6,4,2
7121908,3,1,1,1,4,4,2
7121910,3,1,2,1,6,3,2
7121911,3,1,1,1,6,4,2
7121912,3,1,1,1,6,4,2
7121913,3,1,1,1,6,4,1
7121914,3,1,1,1,6,4,1
7121915,3,1,1,1,6,4,1
7121916,3,1,1,1,6,4,1
7121919,3,1,2,1,4,4,2
7121920,3,1,1,1,3,4,2
7121921,3,1,2,1,4,4,3
7121922,3,1,2,1,4,1,2
7121923,3,1,2,1,4,3,1
7121924,3,1,1,1,6,4,1
7121925,3,1,2,1,4,1,2
7121926,3,1,1,1,4,3,2
7121927,3,1,1,1,4,3,2
7121928,3,1,2,1,4,4,2
7121929,3,1,2,1,4,1,3
7121930,3,1,2,1,4,1,1
7121931,3,1,2,1,4,1,2
7121932,3,1,2,1,4,1,2
7121933,3,1,2,1,4,1,1
7121934,3,1,1,1,4,4,2
7121935,3,1,2,1,4,4,2
7121936,3,1,1,1,4,4,2
7121937,3,1,2,1,4,4,2
7121939,3,1,1,1,6,1,2
7121940,3,1,1,1,4,4,2
7121943,3,1,1,3,6,4,2
7121944,3,1,3,1,4,4,2
7121945,3,1,1,1,4,4,3
7121946,3,1,2,1,6,4,3
7121947,3,1,1,1,4,4,3
7121949,3,1,1,1,4,4,3
