DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7214751,1,1,1200000,1
7214961,1,1,60000,1
7214977,1,1,800000,1
7215024,1,5,900000,1
7215027,1,2,800000,1
7215027,1,2,800000,1
7215244,1,1,8000000,1
7215337,1,1,770000,1
7215405,1,1,673000,1
7215478,1,2,500000,1
7215520,1,1,12000000,1
7215722,1,1,200000,1
7215778,1,1,80000,1
7215867,1,1,1600000,1
7215956,1,2,300000,1
7216179,1,1,960000,1
7216497,1,1,3500000,1
7216942,1,2,620000,1
7217257,1,1,2400000,1
7217265,1,1,2400000,1
7217484,1,1,300000,1
7217635,1,1,800000,1
7217920,1,2,540000,1
7218261,1,1,2200000,1
7218305,1,1,2100000,1
7218308,1,1,650000,1
7218334,1,1,336000,1
7218686,1,3,420000,1
7219100,1,1,180000,1
7219127,1,1,120000,1
7219154,1,2,1800000,1
7219157,1,1,900000,1
7219181,1,2,360000,1
7219763,1,1,800000,1
7219889,1,1,1000000,1
7220245,1,2,1680000,1
7220245,2,1,600000,1
7220246,1,1,840000,1
7220246,2,1,600000,1
7220316,1,1,200000,1
7220336,1,2,300000,1
7220362,1,1,800000,1
7220375,1,1,99,1
7220397,1,1,1200000,1
7220400,1,1,700000,1
7220406,1,1,1400000,1
7220448,1,1,140000,1
7220458,1,1,99,1
7220473,1,1,230000,1
7220490,1,2,1200000,1
7220633,1,4,700000,1
7220645,1,1,1600000,1
7220666,1,3,1200000,1
7220669,1,1,150000,1
7220684,1,2,500000,1
7220687,1,3,1000000,1
7220708,1,1,1480000,1
7220723,1,1,200000,1
7220780,1,3,800000,1
7220783,1,1,1400000,1
7220790,1,1,1400000,1
7220861,1,1,396000,1
7221213,1,1,250000,1
7221698,1,1,980000,1
7221809,1,1,400000,1
7221840,1,1,1790000,1
7221862,1,1,1500000,1
7222018,1,1,900000,1
7222267,1,1,2325000,1
7225009,1,1,2000000,1
7225365,1,1,150000,1
7225374,1,1,292000,1
7225974,1,1,400000,1
7226130,1,1,700000,1
7226384,1,1,600000,1
7227423,1,1,800000,1
7227443,1,2,1200000,1
7228439,1,1,4800000,1
7228556,1,1,100000,1
7228687,1,1,350000,1
7228793,1,1,1200000,1
7228980,1,1,400000,1
7229351,1,1,400000,1
7229370,1,1,300000,1
7229488,1,2,2400000,1
7229499,1,1,12000000,1
7229800,1,2,400000,1
7229949,1,1,800000,1
7230123,1,1,540000,1
7230131,1,1,135000,1
7230139,1,1,540000,1
7231223,1,1,100000,1
7231646,1,1,800000,1
7231997,1,3,1800000,1
7232635,1,1,200000,1
7232800,1,1,1400000,1
7233146,1,1,2400000,1
7233220,1,1,200000,1
7233230,1,1,738000,1
7233242,1,1,400000,1
7233286,1,1,240000,1
7233292,1,2,780000,1
7233318,1,1,400000,1
7233455,1,1,99,1
7233583,1,4,1080000,1
7233730,1,1,600000,1
7234072,1,1,400000,1
7234151,1,1,360000,1
7234245,1,1,240000,1
7234294,1,1,300000,1
7234495,1,1,1400000,1
7234608,1,1,1000000,1
7234610,1,1,1500000,1
7234612,1,1,400000,1
7234631,1,1,700000,1
7234693,1,1,400000,1
7234693,2,2,1400000,1
7234788,1,1,640000,1
7235155,1,1,1000000,1
7235157,1,1,500000,1
7235337,1,2,356000,1
7235395,1,1,500000,1
7235733,1,1,600000,1
7236553,1,1,840000,1
7237202,1,1,800000,1
7237460,1,1,2400000,1
7237809,1,1,4300000,1
7238421,1,1,480000,1
7238526,1,1,700000,1
7239273,1,1,3000000,1
7239579,1,1,1020000,1
7239812,1,1,780000,1
7240028,1,1,1200000,1
7240032,1,2,720000,1
7240035,1,1,480000,1
7240040,1,2,1440000,1
7240250,1,1,420000,1
7240370,1,2,120000,1
7240709,1,1,98,1
7240959,1,1,8000000,1
7241410,1,1,1000000,1
7241487,1,3,7000000,1
7241491,1,1,230000,1
7241656,1,1,4000000,1
7241823,1,1,1020000,1
7242182,1,1,2400000,1
7242249,1,2,720000,1
7242249,1,2,720000,1
7242249,1,2,720000,1
7242249,1,2,720000,1
7242265,1,1,1200000,1
7242432,1,1,3000000,1
7242438,1,1,800000,1
7242544,1,1,1800000,1
7242594,1,1,240000,1
7242634,1,1,900000,1
7242751,1,1,760000,1
7243530,1,1,1000000,1
7243594,1,1,204000,1
7244642,1,2,720000,1
7245605,1,2,200000,1
7245650,1,1,200000,1
7245920,1,1,99,1
7246414,1,1,2000000,1
7246423,1,3,1200000,1
7246428,1,5,99,1
7246429,1,1,1200000,1
7246532,1,1,300000,1
7247067,1,1,600000,1
7247184,1,1,2400000,1
7247216,1,1,900000,1
7247284,1,1,30000,1
