DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7145679,1,1,780000,1
7145777,1,1,560000,1
7145802,1,3,1104000,1
7145805,1,2,600000,1
7145906,1,1,200000,1
7145970,1,1,504000,1
7145973,1,4,252500,1
7145979,1,1,189000,1
7146187,1,1,800000,1
7146187,1,1,800000,1
7146277,1,1,500000,1
7146621,1,1,360000,1
7146743,1,1,13000000,1
7146755,1,1,1180000,1
7146760,1,1,240000,1
7146908,1,1,4800000,1
7146992,1,1,12000000,1
7146994,1,1,13200000,1
7147234,1,1,606000,1
7147521,1,1,98,1
7147606,1,1,400000,1
7147776,1,1,2880000,1
7147841,1,1,99,1
7147861,1,1,500000,1
7147974,1,2,360000,1
7148041,1,1,300000,1
7148092,1,1,300000,1
7148158,1,1,400000,1
7148354,1,1,1200000,1
7148427,1,1,700000,1
7148686,1,1,4800000,1
7148693,1,1,350000,1
7148943,1,1,252500,1
7149048,1,2,480000,1
7149102,1,1,40000,1
7149102,1,1,40000,1
7149107,1,3,120000,1
7149602,1,1,900000,1
7149625,1,2,2264000,1
7149750,1,1,80000,1
7149765,1,1,1236000,1
7149788,1,1,120000,1
7149791,1,1,550000,1
7149795,1,1,600000,1
7149797,1,1,600000,1
7149811,1,1,800000,1
7149821,1,3,1000000,1
7149828,1,5,1000000,1
7149848,1,1,1200000,1
7149860,1,1,1200000,1
7149864,1,2,2880000,1
7149866,1,1,1200000,1
7149871,1,1,2400000,1
7149925,1,1,4000000,1
7149949,1,2,200000,1
7149961,1,4,13000000,1
7150471,1,3,792000,1
7150484,1,1,384000,1
7150727,1,2,160000,1
7150727,1,1,160000,1
7150727,1,2,160000,1
7150727,1,1,160000,1
7150756,1,1,400000,1
7151333,1,2,200000,1
7151383,1,2,4800000,1
7151587,1,2,720000,1
7152206,1,1,99,1
7152253,1,4,800000,1
7152337,1,1,1600000,1
7152351,1,1,1400000,1
7152360,1,1,200000,1
7152693,1,1,980000,1
7152729,1,1,120000,1
7152881,1,1,1800000,1
7152949,1,2,12000000,1
7152959,1,1,6000000,1
7152964,1,1,2000000,1
7153003,1,1,12000000,1
7153006,1,1,12000000,1
7153038,1,1,12000000,1
7153073,1,1,30000,1
7153078,1,1,50000,1
7153366,1,1,800000,1
7153424,1,1,420000,1
7153509,1,1,200000,1
7153549,1,1,420000,1
7153550,1,1,300000,1
7153999,1,1,200000,1
7154087,1,1,4000000,1
7154118,1,1,800000,1
7154118,1,1,800000,1
7154235,1,1,150000,1
7154280,1,1,1600000,1
7154745,1,2,300000,1
7154771,1,1,2000000,1
7154996,1,1,800000,1
7155068,1,1,950000,1
7155222,1,1,470000,1
7155293,1,1,480000,1
7155346,1,1,200000,1
7155673,1,1,1400000,1
7155684,1,1,1400000,1
7155882,1,1,3000000,1
7156013,1,1,200000,1
7156016,1,1,200000,1
7156138,1,1,99,1
7156144,1,1,400000,1
7156145,1,1,400000,1
7156268,1,1,50000,1
7156281,1,2,600000,1
7156685,1,1,10000000,1
7156738,1,1,2400000,1
7156958,1,1,700000,1
7157283,1,1,300000,1
7157465,1,1,1400000,1
7157470,1,1,384000,1
7157472,1,1,280000,1
7157978,1,1,3000000,1
7158188,1,1,280000,1
7158330,1,2,2100000,1
7158358,1,6,1000000,1
7158400,1,3,300000,1
7158617,1,1,1600000,1
7159276,1,1,3690000,1
7159280,1,1,580000,1
7159294,1,1,1460000,1
7159300,1,4,580000,1
7159306,1,4,2340000,1
7159316,1,1,990000,1
7159317,1,1,900000,1
7159326,1,3,580000,1
7159331,1,1,800000,1
7159334,1,1,500000,1
7159339,1,1,470000,1
7159340,1,4,997000,1
7159345,1,1,800000,1
7159356,1,5,840000,1
7159358,1,6,995000,1
7159363,1,1,800000,1
7159378,1,1,533000,1
7159390,1,1,900000,1
