DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7122810,3,1,35,1,2,1,2,2,6,1,10,5,3,10,9,1,9,1,9,2,1,1,3,3,3,1,3,2,1467333,489111,3,1,4,2,4,1,1,2,4, ,1,2,2,2,2,3.0,1480000.0,1.0, ,2,1,40000, 
7122831,3,2,19,1,5, ,2,2,6,2,8,8,10,10,9,0,10,0,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,2,2,2,2,1,1, ,1,3,2,2,2,2,1.0,400000.0,1.0,2,2, ,70000,20000
7122831,3,2,19,1,5, ,2,2,6,2,8,8,10,10,9,0,10,0,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,2,2,2,2,1,1, ,1,3,2,2,2,2,1.0,400000.0,1.0,2,2, ,70000,20000
7122831,3,2,19,1,5, ,2,2,6,2,8,8,10,10,9,0,10,0,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,2,2,2,2,1,1, ,1,3,2,2,2,2,1.0,400000.0,1.0,2,2, ,70000,20000
7122923,3,2,53,1,3, ,2,2,6,1,10,99,10,0,10,0,10,2,1,1,1,1,6,4,1,1,3,2,1716666,429166,4,1,2,2,2,2,1,2,3, ,4,2,2,2,2,1.0,2600000.0,1.0,2,1, ,58000,24000
7122951,3,2,35,1,4, ,2,2,6,1,9,5,8,7,8,8,8,2,1,1,1,1,6,3,1,1,3,2,463333,154444,3,1,2,2,2,2,1,2,5, ,1,2,2,2,2,1.0,300000.0,1.0, , , ,22000,15400
7123027,3,2,46,1,6,2,2,2,6,2,5,5,5,0,0,0,8,2,1,1,1,1,4,3,3,1,4,2,1798000,599333,3,1,2,2,3,1,1,2,7, ,4,2,2,2,2,1.0,1200000.0,1.0,3,2,1,250000,100000
7123160,3,1,22,1,5, ,2,2,6,2,8,8,8,7,7,2,8,0,3,1,2,1,6,4,1,1,2,1,66666,66666,1,1,2,2,2,2,1,1, ,1,3,2,2,2,2,1.0,800000.0,1.0,2,1, ,16000,2000
7123161,3,2,32,1,2,1,2,2,6,2,1,1,8,1,1,9,1,2,3,1,1,1,6,4,1,1,1,1,674166,168541,4,1,4,2,2,2,1,2,5, ,4,2,2,2,2,1.0,90000.0,1.0,2,1, ,80000,60000
7123197,3,1,83,1,6,1,3,3,6,1,6,4,4,6,7,4,5,0,3,1,1,1,6,4,1,1,4,1,605000,302500,2,1,2,2,3,2,1,2,3, ,4,2,2,2,2,2.0,300000.0,1.0, ,2, ,15000, 
