Hijos,Edad,Cultura,Felicidad,Ingreso_Hogares,Ingreso_Per_capita,Nivel_educativo,Actividad
0,69,5,7,1132000,566000,5,5
3,56,5,8,3804500,475562,3,1
3,56,5,6,3804500,475562,4,4
2,58,6,0,1272500,254500,3,5
2,45,6,7,1272500,254500,3,1
0,62,6,7,1200000,600000,1,4
0,62,6,7,1200000,600000,1,4
1,38,6,6,1159833,386611,1,1
0,69,5,9,7633333,3816666,11,1
0,69,5,9,7633333,3816666,11,1
0,63,5,8,7633333,3816666,11,1
0,63,5,8,7633333,3816666,11,1
4,47,6,9,1532583,255430,4,4
2,35,6,8,1080000,270000,5,1
2,26,6,8,1080000,270000,5,4
1,27,1,10,2047000,682333,7,1
2,27,1,10,850000,212500,3,1
0,65,6,10,700000,350000,4,1
0,65,6,10,700000,350000,4,1
1,48,1,7,1212666,404222,3,1
1,33,6,8,790000,263333,5,1
1,31,6,10,790000,263333,5,1
0,26,6,7,2200000,550000,4,1
0,26,6,7,2200000,550000,4,1
0,26,6,7,2200000,550000,4,1
0,26,6,7,2200000,550000,4,1
0,21,6,6,2200000,550000,4,1
0,21,6,6,2200000,550000,4,1
0,21,6,6,2200000,550000,4,1
0,21,6,6,2200000,550000,4,1
2,52,6,3,886500,221625,4,1
0,25,6,7,750000,750000,11,1
0,23,5,7,600000,600000,4,1
0,52,6,9,1375000,687500,4,4
0,52,6,9,1375000,687500,4,4
0,59,6,8,1375000,687500,5,6
0,59,6,8,1375000,687500,5,6
0,76,6,9,789583,263194,3,4
0,76,6,9,789583,263194,3,4
0,76,6,9,789583,263194,3,4
0,39,6,10,1041666,1041666,7,1
4,47,6,7,2507333,358190,5,4
1,62,6,9,4300000,2150000,11,1
0,77,6,7,475000,237500,3,4
0,77,6,7,475000,237500,3,4
0,73,6,8,475000,237500,3,4
0,73,6,8,475000,237500,3,4
0,53,6,10,1800000,900000,1,1
0,53,6,10,1800000,900000,1,1
0,57,6,10,1800000,900000,5,1
0,57,6,10,1800000,900000,5,1
0,73,6,7,300000,300000,3,4
1,37,5,7,507833,253916,5,1
0,50,6,8,216666,216666,1,5
3,46,6,10,1258116,251623,3,1
3,41,6,5,1258116,251623,9,4
0,63,6,8,650000,325000,5,1
0,63,6,8,650000,325000,5,1
0,62,6,8,650000,325000,5,4
0,62,6,8,650000,325000,5,4
0,60,6,7,3620000,1040000,11,1
0,60,6,7,3620000,1040000,11,1
0,60,6,7,3620000,1040000,11,1
0,60,6,7,3620000,1040000,11,1
0,60,6,3,3620000,1040000,11,4
0,60,6,3,3620000,1040000,11,4
0,60,6,3,3620000,1040000,11,4
0,60,6,3,3620000,1040000,11,4
0,57,6,9,3250000,1625000,5,4
0,57,6,9,3250000,1625000,5,4
0,59,6,8,3250000,1625000,12,1
0,59,6,8,3250000,1625000,12,1
0,72,6,10,430000,215000,1,4
0,72,6,10,430000,215000,1,4
3,40,6,10,2137666,427533,5,4
1,33,6,1,657833,219277,5,4
2,35,6,9,1679166,419791,7,4
