DIRECTORIO,REGION,CANT_HOGARES_VIVIENDA,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,SECUENCIA_ENCUESTA_x,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas,SECUENCIA_P,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes
7143904,7,1,1,2,1,4,1,1,1,3,2,1033333,206666,5,1,4800000, ,1, ,45000,6000,1,3,1,19,1,2,1,2,2,5,2,8,7,8,8,8,5,7,2, ,2,1,2,1,1, ,1,2,2,2,2,2
7143904,7,1,1,2,1,4,1,1,1,3,2,1033333,206666,5,1,4800000, ,1, ,45000,6000,1,3,2,19,2,2,1,2,2,5,2,7,6,7,5,8,7,7,2, ,2,1,2,1,1, ,1,3,2,2,2,2
7143904,7,1,1,2,1,4,1,1,1,3,2,1033333,206666,5,1,4800000, ,1, ,45000,6000,1,3,2,31,7,2,2,2,2,5,2,7,6,7,6,8,6,6,1,1,2,1,2,1,2,4, ,4,2,2,1,2
7143906,7,1,1,2,1,4,1,1,1,3,2,630666,126133,5,1,800000,2,1, ,90000,10000,1,3,1,31,1,2,1,2,2,6,1,3,3,9,5,2,8,3,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7143906,7,1,1,2,1,4,1,1,1,3,2,630666,126133,5,1,800000,2,1, ,90000,10000,1,3,2,29,2,2,1,2,2,1,1,5,2,7,3,3,8,4,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7143906,7,1,1,2,1,4,1,1,1,3,2,630666,126133,5,1,800000,2,1, ,90000,10000,1,2,1,14,3,5, ,1,1,1, , , , , , , , ,1,2,2,2,2,1,1, ,1,3, ,2,2,2
7144369,1,1,1,2,1,4,1,1,1,3,1,1116666,372222,3,1,2400000, , , ,19300, ,1,3,1,25,1,2,1,2,2,5,1,8,5,8,3,10,0,7,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7144369,1,1,1,2,1,4,1,1,1,3,1,1116666,372222,3,1,2400000, , , ,19300, ,1,3,2,20,2,2,1,3,2,1,1,8,99,10,10,10,0,8,1,1,2,2,2,1,2,5, ,4,2,2,2,2
7144521,1,1,2,1,5,6,4, ,1,3,1,1068333,1068333,1,1,8880000, , , , , ,1,3,1,41,1,2,2,3,3,1,1,8,8,8,8,8,2,5,1,2,2,2,2,2,2,1, ,1,2,2,2,2
7144611,8,1,1,1,1,4,1,3,1,3,3,17220833,3444166,5,1,250000,3,2,3,250000, ,1,3,1,64,1,6,1,2,2,3,2,10,10,10,10,10,0,10,1,2,2,2,2,1,2,11, ,1,2,2,2,2
7144611,8,1,1,1,1,4,1,3,1,3,3,17220833,3444166,5,1,250000,3,2,3,250000, ,1,3,2,55,2,6,1,2,2,3,2,10,10,10,10,10,0,10,1,2,2,2,2,1,2,5, ,4,1,2,2,2
7144611,8,1,1,1,1,4,1,3,1,3,3,17220833,3444166,5,1,250000,3,2,3,250000, ,1,3,2,31,3,5, ,1,1,3,2,10,10,10,10,10,0,10,1,2,2,1,2,1,2,7, ,1,2,2,2,2
7144611,8,1,1,1,1,4,1,3,1,3,3,17220833,3444166,5,1,250000,3,2,3,250000, ,1,3,1,25,3,5, ,1,1,3,2,10,10,10,10,10,0,10,1,2,2,2,2,1,2,11, ,1,2,2,2,2
7144665,1,1,1,2,1,4,1,1,1,3,2,1912648,637549,3,1,200000,2,2, ,0,0,1,3,2,25,1,5, ,2,2,6,2,5,5,10,6,10,0,10,1,1,2,1,2,1,1, ,1,1,1,2,2,2
7144665,1,1,1,2,1,4,1,1,1,3,2,1912648,637549,3,1,200000,2,2, ,0,0,1,3,2,22,7,5, ,2,2,6,2,10,7,10,10,10,0,10,1,1,2,1,1,1,1, ,1,3,2,2,2,2
7144665,1,1,1,2,1,4,1,1,1,3,2,1912648,637549,3,1,200000,2,2, ,0,0,1,2,2,17,7,5, ,2,2,6,2,10,2,9,0,8,0,9,1,1,2,1,2,1,1, ,1,3,2,2,2,2
7144679,1,1,1,1,1,4,3,1,1,3,2,1393333,348333,4,1,400000, ,1, ,0, ,1,3,2,47,1,6,1,3,2,6,2,7,99,10,0,4,9,6,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7144679,1,1,1,1,1,4,3,1,1,3,2,1393333,348333,4,1,400000, ,1, ,0, ,1,3,1,48,2,6,1,2,2,6,2,10,2,10,2,10,0,8,1,1,2,1,2,1,2,5, ,1,2,2,2,2
7144679,1,1,1,1,1,4,3,1,1,3,2,1393333,348333,4,1,400000, ,1, ,0, ,1,3,2,21,3,5, ,1,1,6,2,7,99,10,0,7,0,10,1,1,2,1,2,1,2,9, ,2,2,2,2,2
7144679,1,1,1,1,1,4,3,1,1,3,2,1393333,348333,4,1,400000, ,1, ,0, ,1,2,1,17,3,5, ,1,1,6,2,10,99,10,0,6,0,10,1,1,2,2,2,1,1, ,1,3,2,2,2,2
7144984,2,1,2,2,1,4,3,2,1,2,1,772166,193041,4,1,2000, , , ,22000,12000,1,3,2,27,1,2,1,2,2,6,1,10,99,10,10,10,2,10,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7144984,2,1,2,2,1,4,3,2,1,2,1,772166,193041,4,1,2000, , , ,22000,12000,1,3,1,33,2,2,1,2,2,6,1,10,5,8,8,8,3,8,1,2,2,3,2,1,2,3, ,1,2,2,2,2
7145011,2,1,2,1,1,4,1,2,1,3,2,2773000,693250,4,3,99,2,2, ,11000,14000,1,3,2,31,1,2,1,2,2,6,1,10,10,7,9,10,0,10,1,4,2,3,2,1,1, ,1,1,1,2,2,2
7145011,2,1,2,1,1,4,1,2,1,3,2,2773000,693250,4,3,99,2,2, ,11000,14000,1,3,1,36,2,2,1,2,2,6,1,8,7,8,8,8,2,9,1,3,2,3,2,1,2,9, ,1,1,2,2,2
7145023,2,1,2,1,1,4,3,2,1,3,2,730000,182500,4,4,99, ,1, ,20800,89900,1,3,2,27,1,6,1,2,2,6,1,10,99,10,10,10,0,10,1,3,2,2,2,1,2,5, ,4,2,2,2,2
7145023,2,1,2,1,1,4,3,2,1,3,2,730000,182500,4,4,99, ,1, ,20800,89900,1,3,1,31,2,6,1,2,2,6,1,10,6,7,10,10,0,8,1,2,2,1,2,1,2,3, ,1,2,2,2,2
7145024,2,1,2,2,1,4,1,2,1,3,2,875000,218750,4,1,99,1,1, ,14000,7000,1,3,2,24,1,1,1,2,2,6,1,10,99,10,10,0,0,10,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7145024,2,1,2,2,1,4,1,2,1,3,2,875000,218750,4,1,99,1,1, ,14000,7000,1,3,1,35,2,1,1,3,2,6,1,10,10,7,7,8,2,9,2, ,2,3,2,1,2,3, ,1,2,2,2,2
7145025,2,1,2,1,2,6,2,2,1,2,2,803000,267666,3,1,1236000, ,1, ,20000,10000,1,3,1,24,1,2,1,3,2,6,1,9,6,8,9,8,3,9,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7145025,2,1,2,1,2,6,2,2,1,2,2,803000,267666,3,1,1236000, ,1, ,20000,10000,1,3,2,18,2,2,1,2,2,6,1,8,99,8,9,7,1,9,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7145108,3,1,2,1,5,7,4,0,1,2,1,624333,208111,3,1,700000, , , ,0, ,1,3,2,24,1,4, ,2,2,6,1,7,6,8,2,10,0,8,1,2,2,2,2,1,1, ,1,1,2,2,1,2
7145129,3,1,2,1,1,6,4,1,1,3,1,533333,266666,2,1,400000, ,1, ,25000, ,1,3,1,56,1,2,1,3,3,6,1,6,6,7,8,8,6,6,1,2,2,3,1,1,2,4, ,2,2,2,2,2
7145129,3,1,2,1,1,6,4,1,1,3,1,533333,266666,2,1,400000, ,1, ,25000, ,1,3,2,44,2,2,1,2,2,6,1,8,99,8,8,10,0,7,1,2,2,4,1,1,2,3, ,4,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,3,1,42,1,2,1,3,3,6,1,8,3,6,3,7,3,6,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,3,2,49,2,2,1,3,3,6,1,5,2,3,5,8,2,7,1,4,2,3,2,1,2,4, ,1,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,3,1,22,3,5, ,1,1,6,1,8,5,7,3,8,3,6,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,3,2,20,3,5, ,1,1,6,1,9,99,8,8,8,1,6,1,2,2,2,2,1,1, ,1,4,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,3,2,19,3,5, ,1,1,6,1,8,99,7,6,9,2,7,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7145363,3,1,2,1,1,6,4,1,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000,1,2,2,16,3,5, ,1,1,6,1,8,99,7,7,8,2,8,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,3,1,48,1,2,1,3,2,6,1,5,5,5,10,4,4,8,1,3,2,2,2,1,2,3, ,6,2,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,3,2,42,2,2,1,3,1,6,1,10,9,5,10,10,0,10,1,2,2,2,2,1,2,3, ,4,2,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,2,2,17,3,5, ,1,1,6,1,10,10,10,10,8,0,10,1,2,2,3,2,1,1, ,1,3,2,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,2,2,14,3,5, ,1,1,6, , , , , , , , ,1,2,2,3,2,1,1, ,1,3, ,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,2,2,12,3,5, ,1,1,6, , , , , , , , ,1,2,2,2,2,1,1, ,1,3, ,2,2,2
7145434,3,1,2,1,3,4,4,1,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000,1,3,2,67,6,3, ,3,3,6,1,4,4,4,3,8,0,6,1,2,2,4,2,1,2,3, ,4,2,2,2,2
7145679,2,1,2,1,8,7,4, ,1,2,1,195000,195000,1,1,780000, , , , , ,1,3,1,79,1,5, ,3,3,6,1,8,4,5,5,9,1,7,1,2,2,3,2,2,2,1, ,4,2,2,2,2
7145777,2,1,2,1,1,6,4,2,1,3,2,255000,63750,4,1,560000,2,2, ,22870, ,1,3,1,43,1,2,1,2,2,6,1,9,5,5,1,8,2,3,1,4,2,3,2,2,2,1, ,2,2,2,2,2
7145777,2,1,2,1,1,6,4,2,1,3,2,255000,63750,4,1,560000,2,2, ,22870, ,1,3,2,26,2,2,1,2,2,6,2,8,7,8,4,7,1,5,1,4,2,3,1,1,2,5, ,4,2,2,2,2
7145802,2,1,1,2,1,4,4,2,1,2,2,1212166,303041,4,3,1104000,2, , ,4900,4500,1,3,2,29,1,4, ,2,2,6,2,5,3,7,0,4,7,5,1,3,2,3,2,1,2,5, ,1,1,2,2,2
7145802,2,1,1,2,1,4,4,2,1,2,2,1212166,303041,4,3,1104000,2, , ,4900,4500,1,2,2,14,3,5, ,2,1,6, , , , , , , , ,1,3,1,1,2,1,1, ,1,3, ,2,2,2
7145802,2,1,1,2,1,4,4,2,1,2,2,1212166,303041,4,3,1104000,2, , ,4900,4500,1,2,1,12,3,5, ,2,1,6, , , , , , , , ,1,3,2,1,2,1,1, ,1,3, ,2,2,2
7145805,2,1,1,1,1,6,4,2,1,3,2,5109000,1277250,4,2,600000,2,1, ,26100, ,1,3,1,32,1,6,1,2,2,6,1,10,8,10,10,10,2,8,1,3,2,2,2,1,2,5, ,6,1,2,2,2
7145805,2,1,1,1,1,6,4,2,1,3,2,5109000,1277250,4,2,600000,2,1, ,26100, ,1,3,2,32,2,6,1,2,2,6,1,8,6,4,6,9,1,9,1,3,2,2,2,1,2,5, ,1,2,2,2,2
7145906,2,1,1,2,8,7,4,2,1,3,1,1308333,654166,2,1,200000, ,1, ,38000,22000,1,3,2,64,1,3, ,3,3,6,1,8,6,5,8,7,2,8,1,2,2,2,1,1,2,3, ,1,2,2,2,2
7145906,2,1,1,2,8,7,4,2,1,3,1,1308333,654166,2,1,200000, ,1, ,38000,22000,1,3,2,18,4,5, ,2,2,6,2,9,7,8,10,9,0,7,1,2,2,3,2,1,1, ,1,3,2,2,2,2
7145970,2,1,1,1,1,6,4,1,1,3,1,442000,147333,3,1,504000, ,2, ,0, ,1,3,1,43,1,1,1,3,2,6,1,8,4,4,4,8,0,7,1,2,2,3,2,1,2,3, ,1,2,2,2,2
7145970,2,1,1,1,1,6,4,1,1,3,1,442000,147333,3,1,504000, ,2, ,0, ,1,3,2,31,2,1,1,2,2,6,1,8,99,7,9,9,0,5,2, ,2,2,2,1,2,5, ,4,2,2,2,2
7145973,2,1,1,1,5,7,4,1,1,4,2,621041,155260,4,4,252500, , , ,0, ,1,4,1,20,1,1,1,2,2,6,1,7,0,10,7,9,1,7,2, ,2,2,2,1,2,4, ,2,2,2,2,2
7145973,2,1,1,1,5,7,4,1,1,4,2,621041,155260,4,4,252500, , , ,0, ,1,4,2,24,2,1,1,2,2,6,2,8,3,8,8,7,2,5,2, ,2,2,2,1,2,5, ,1,2,2,2,2
7145979,2,1,1,1,5,6,4,2,1,1,1,247416,123708,2,1,189000, , , ,0, ,1,3,2,19,1,4, ,3,2,6,2,5,99,8,8,0,4,5,1,2,2,3,2,1,2,4, ,4,2,2,1,2
7146277,4,1,1,1,1,7,4,2,1,2,1,850833,425416,2,1,500000, ,1, ,6700, ,1,3,2,79,1,3, ,3,3,1,2,9,8,3,8,4,3,6,1,2,2,3,1,1,2,1, ,4,2,2,2,2
7146277,4,1,1,1,1,7,4,2,1,2,1,850833,425416,2,1,500000, ,1, ,6700, ,1,3,1,18,3,5, ,2,1,1,1,8,4,9,8,10,0,9,1,2,2,2,2,1,1, ,1,4,2,2,2,2
7146621,3,1,1,2,1,4,1,5,1,3,1,1005000,1005000,1,1,360000,1,3, ,87000,22000,1,3,2,74,1,4, ,3,3,6,2,7,5,6,3,8,0,3,1,1,2,3,1,1,2,5, ,4,2,2,2,2
7146743,3,1,1,1,1,4,3,2,1,4,1,1561666,520555,3,1,13000000,2,1, ,30000,8000,1,3,2,41,1,2,2,3,2,6,1,5,5,1,5,10,0,6,1,3,2,3,2,1,2,3, ,1,2,2,2,2
7146743,3,1,1,1,1,4,3,2,1,4,1,1561666,520555,3,1,13000000,2,1, ,30000,8000,1,3,2,20,3,5, ,2,1,6,2,10,99,8,8,10,0,10,1,3,2,3,2,1,1, ,2,3,2,2,2,2
7146743,3,1,1,1,1,4,3,2,1,4,1,1561666,520555,3,1,13000000,2,1, ,30000,8000,1,2,2,12,3,5, ,2,1,6, , , , , , , , ,1,2,2,2,2,1,1, ,1,3, ,2,2,2
7146755,3,1,1,1,1,4,3,2,1,4,3,1241500,413833,3,1,1180000,2,1, ,24500,12000,1,3,2,32,1,4, ,2,2,6,1,0,5,10,9,0,0,8,1,2,2,3,2,1,2,4, ,1,2,2,2,2
7146755,3,1,1,1,1,4,3,2,1,4,3,1241500,413833,3,1,1180000,2,1, ,24500,12000,1,4,2,22,14,5, ,2,2,6,1,5,99,10,0,5,0,5,2, ,2,3,1,1,2,4, ,4,2,2,2,2
7146755,3,1,1,1,1,4,3,2,1,4,3,1241500,413833,3,1,1180000,2,1, ,24500,12000,1,3,2,22,14,5, ,2,2,6,1,7,6,10,8,9,0,8,1,2,2,2,1,1,2,3, ,1,2,2,2,2
7146760,3,1,1,1,1,4,4,1,1,3,2,840000,280000,3,1,240000,1,2,0,16000,15000,1,3,2,29,1,4, ,3,2,6,1,5,3,9,7,8,0,6,1,3,2,2,2,1,2,3, ,1,2,2,2,2
7146760,3,1,1,1,1,4,4,1,1,3,2,840000,280000,3,1,240000,1,2,0,16000,15000,1,2,1,12,3,5, ,2,1,6, , , , , , , , ,1,2,2,1,2,1,1, ,1,3, ,2,2,2
7146908,6,1,1,2,1,4,1,2,1,2,1,900000,900000,1,1,4800000,1,2, ,18000,13000,1,3,1,56,1,5, ,3,3,6,2,10,1,7,10,10,0,9,2, ,2,3,2,1,2,5, ,1,2,2,2,2
7146992,6,1,1,2,1,4,1,3,1,4,2,4560000,2280000,2,1,12000000,2,2, ,37161,22018,1,3,1,45,1,4, ,2,2,1,1,9,8,9,10,9,0,7,1,3,2,2,2,1,1, ,2,1,1,2,9,2
7146992,6,1,1,2,1,4,1,3,1,4,2,4560000,2280000,2,1,12000000,2,2, ,37161,22018,1,2,2,15,3,5, ,1,2,6,9,9,10,10,9,7,7,9,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7146994,6,1,1,2,1,4,1,3,1,4,3,1201000,200166,6,1,13200000,3,1, ,53000,35000,1,3,2,59,1,4, ,3,2,6,1,5,5,5,5,0,7,5,1,3,2,3,2,1,2,4, ,4,2,2,2,2
7146994,6,1,1,2,1,4,1,3,1,4,3,1201000,200166,6,1,13200000,3,1, ,53000,35000,1,3,2,26,3,2,1,2,1,6,1,7,1,5,4,5,4,1,1,2,2,3,2,1,2,5, ,4,2,2,2,2
7146994,6,1,1,2,1,4,1,3,1,4,3,1201000,200166,6,1,13200000,3,1, ,53000,35000,1,3,1,31,8,2,1,2,3,6,2,0,99,8,1,5,6,4,1,9,2,3,2,1,2,3, ,2,2,2,2,2
7147234,4,1,1,2,1,4,1,1,1,3,2,1053833,351277,3,1,606000,2,1, ,21000, ,1,3,2,29,1,4, ,2,2,5,1,6,3,10,5,8,2,10,1,4,2,1,2,1,1, ,1,1,1,2,1,2
7147234,4,1,1,2,1,4,1,1,1,3,2,1053833,351277,3,1,606000,2,1, ,21000, ,1,3,1,20,7,5, ,2,2,5,2,9,5,9,8,8,0,5,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7147521,1,1,1,2,1,4,3,4,1,4,1,2583333,1291666,2,1,98,1,2, ,145000,20000,1,3,2,38,1,1,1,2,2,6,2,8,7,8,10,10,5,8,1,2,2,2,2,1,2,13, ,1,1,2,2,2
7147521,1,1,1,2,1,4,3,4,1,4,1,2583333,1291666,2,1,98,1,2, ,145000,20000,1,3,1,44,2,1,1,2,2,6,2,5,99,3,0,1,10,0,1,2,2,3,2,1,2,13, ,2,1,2,2,2
7147606,1,1,1,3,5,7,4,1,1,1,1,708833,177208,4,1,400000, ,2, ,0, ,1,3,2,43,1,4, ,2,2,6,2,6,5,10,0,5,0,5,1,2,2,1,2,1,2,4, ,4,2,2,1,2
7147606,1,1,1,3,5,7,4,1,1,1,1,708833,177208,4,1,400000, ,2, ,0, ,1,2,2,17,3,5, ,2,1,6,2,10,99,10,0,10,0,7,1,1,2,1,2,1,1, ,1,3,2,2,2,2
7147776,1,1,2,1,8,7,4,1,1,1,1,768000,192000,4,1,2880000, ,1, ,0, ,1,3,2,30,1,4, ,2,2,1,1,10,8,10,10,10,0,10,1,2,2,2,2,1,2,4, ,4,2,2,1,2
7147841,3,1,1,1,5,6,4,1,1,1,1,228333,228333,1,1,99, ,1, ,3250, ,1,3,2,57,1,5, ,3,3,6,1,4,2,4,4,5,4,4,1,2,2,3,2,1,2,3, ,4,2,2,2,2
7147861,3,1,1,1,5,6,4,1,1,3,1,616666,616666,1,1,500000, ,2, ,10000, ,1,3,1,66,1,4, ,3,3,6,1,7,6,8,5,7,3,8,1,3,2,2,2,1,2,3, ,1,2,2,2,2
7147974,2,1,1,2,1,6,3,1,1,2,1,720000,360000,2,2,360000, ,1, ,55000, ,1,3,1,29,1,1,1,2,2,6,2,10,10,10,10,10,0,10,1,1,2,1,2,1,2,10, ,1,2,2,2,2
7147974,2,1,1,2,1,6,3,1,1,2,1,720000,360000,2,2,360000, ,1, ,55000, ,1,5,2,28,2,1,1,2,2,6,2,8,8,8,8,10,0,7,1,2,2,2,1,1,2,11, ,1,2,2,2,2
7148041,4,1,2,1,2,6,2,1,1,3,1,550000,550000,1,1,300000, ,1, ,17000, ,1,3,1,56,1,4, ,3,2,6,1,6,6,3,7,3,2,5,1,3,2,4,2,1,2,3, ,1,2,2,2,2
7148092,4,1,2,1,2,6,2,1,1,2,2,288333,96111,3,1,300000, , , ,8000, ,1,3,2,41,1,4, ,2,2,6,1,8,5,10,10,10,0,10,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7148158,4,1,1,2,1,4,1,1,1,3,2,733333,366666,2,1,400000,1,1, ,17000,6800,1,3,2,44,1,5, ,3,2,6,1,5,99,0,5,5,4,5,1,2,2,3,1,1,2,3, ,4,2,2,2,2
7148158,4,1,1,2,1,4,1,1,1,3,2,733333,366666,2,1,400000,1,1, ,17000,6800,1,3,1,19,3,5, ,2,1,6,2,10,10,5,5,7,2,5,1,2,2,2,1,1,1, ,1,3,2,2,2,2
7148354,9,1,1,3,1,4,1,1,1,1,1,466666,466666,1,1,1200000, ,2, ,11000, ,1,3,2,18,1,5, ,2,2,1,1,6,10,6,10,8,4,7,1,3,2,3,2,1,1, ,1,3,2,2,2,2
7148427,9,1,2,1,5,7,4,9,1,1,1,630666,105111,6,1,700000, , , ,20000, ,1,3,1,44,1,2,1,2,2,1,1,10,10,10,10,10,8,8,1,3,2,2,1,1,2,3, ,1,1,2,2,2
7148427,9,1,2,1,5,7,4,9,1,1,1,630666,105111,6,1,700000, , , ,20000, ,1,3,2,37,2,2,1,2,3,1,1,10,99,9,8,9,0,9,1,2,2,2,2,1,2,3, ,4,2,2,2,2
7148427,9,1,2,1,5,7,4,9,1,1,1,630666,105111,6,1,700000, , , ,20000, ,1,3,1,21,3,5, ,1,1,1,1,8,99,9,9,9,2,8,1,3,2,2,2,1,2,5, ,2,2,2,2,2
7148427,9,1,2,1,5,7,4,9,1,1,1,630666,105111,6,1,700000, , , ,20000, ,1,2,2,16,3,5, ,1,1,1,1,7,8,9,9,8,5,6,1,3,2,3,1,1,2,4, ,4,2,2,2,2
7148686,1,1,1,1,5,7,4,0,1,2,1,1320000,440000,3,1,4800000,1, , ,0, ,1,3,1,40,1,2,1,2,2,5,1,8,9,9,8,9,3,7,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7148686,1,1,1,1,5,7,4,0,1,2,1,1320000,440000,3,1,4800000,1, , ,0, ,1,3,2,28,2,2,1,2,2,6,2,9,99,8,6,8,6,7,1,2,2,1,2,1,2,3, ,4,2,2,2,2
7148693,1,1,1,1,1,4,4,1,1,4,1,466666,155555,3,1,350000,2,1, ,0, ,1,3,1,34,1,2,1,2,2,6,1,10,5,10,8,10,10,9,1,3,2,2,2,1,2,5, ,1,2,2,2,2
7148693,1,1,1,1,1,4,4,1,1,4,1,466666,155555,3,1,350000,2,1, ,0, ,1,3,2,26,2,2,1,3,2,6,1,10,7,10,10,10,0,10,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7148943,1,1,2,3,1,6,4,1,1,1,1,248750,49750,5,1,252500,3, , ,0, ,1,4,2,42,1,6,1,3,3,6,2,8,99,7,8,6,0,6,2, ,2,2,2,1,2,3, ,4,2,2,2,2
7148943,1,1,2,3,1,6,4,1,1,1,1,248750,49750,5,1,252500,3, , ,0, ,1,4,1,40,2,6,1,3,3,6,1,6,7,4,2,3,7,3,2, ,2,2,2,2,2,1, ,1,2,2,2,2
7148943,1,1,2,3,1,6,4,1,1,1,1,248750,49750,5,1,252500,3, , ,0, ,1,4,2,15,3,5, ,1,1,6,2,9,99,10,4,8,0,10,2, ,2,2,2,1,2,3, ,6,2,2,2,2
7148943,1,1,2,3,1,6,4,1,1,1,1,248750,49750,5,1,252500,3, , ,0, ,1,4,2,23,3,4, ,1,1,6,2,9,99,3,5,10,10,10,2, ,2,2,2,1,2,5, ,2,2,2,2,2
7149048,8,1,1,2,1,4,1,3,1,2,2,2680416,670104,4,2,480000,2,1, ,40000, ,1,3,1,37,1,1,1,2,3,6,2,1,8,4,9,4,4,7,1,2,2,2,2,1,2,5, ,1,1,2,2,2
7149048,8,1,1,2,1,4,1,3,1,2,2,2680416,670104,4,2,480000,2,1, ,40000, ,1,3,2,34,2,1,1,2,2,5,2,2,5,6,8,6,5,3,1,2,2,2,2,1,2,9, ,1,1,2,2,2
7149107,1,1,1,1,1,4,3,1,1,3,2,1349648,168706,8,3,120000, ,2, ,0, ,1,3,2,32,1,4, ,2,2,6,2,8,7,3,8,8,5,8,1,3,2,3,2,1,2,4, ,1,1,2,2,2
7149107,1,1,1,1,1,4,3,1,1,3,2,1349648,168706,8,3,120000, ,2, ,0, ,1,2,1,15,3,5, ,2,1,6,2,10,99,10,0,10,0,8,1,1,2,1,2,1,1, ,1,3,2,2,2,2
7149107,1,1,1,1,1,4,3,1,1,3,2,1349648,168706,8,3,120000, ,2, ,0, ,1,3,2,35,7,6,1,2,2,6,2,10,99,0,0,6,4,5,1,9,2,2,2,1,2,4, ,4,2,2,2,2
7149107,1,1,1,1,1,4,3,1,1,3,2,1349648,168706,8,3,120000, ,2, ,0, ,1,3,1,44,9,6,1,2,2,6,2,5,99,0,0,4,5,6,1,1,2,3,2,1,2,5, ,6,2,2,2,2
7149107,1,1,1,1,1,4,3,1,1,3,2,1349648,168706,8,3,120000, ,2, ,0, ,1,2,2,14,9,5, ,1,1,6, , , , , , , , ,1,1,2,1,2,1,1, ,1,3, ,2,2,2
7149602,1,1,2,1,1,6,4,1,1,3,2,1005000,251250,4,1,900000, ,3, ,22500, ,1,3,1,55,1,4, ,3,3,6,1,10,8,10,10,8,0,8,1,2,2,3,1,2,2,3, ,1,2,2,2,2
7149602,1,1,2,1,1,6,4,1,1,3,2,1005000,251250,4,1,900000, ,3, ,22500, ,1,3,2,23,3,5, ,1,2,6,1,10,99,10,8,10,0,10,1,2,2,2,2,1,1, ,2,3,2,2,2,2
7149602,1,1,2,1,1,6,4,1,1,3,2,1005000,251250,4,1,900000, ,3, ,22500, ,1,3,1,22,3,5, ,1,2,6,1,10,8,10,10,10,0,8,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7149602,1,1,2,1,1,6,4,1,1,3,2,1005000,251250,4,1,900000, ,3, ,22500, ,1,2,2,15,3,5, ,1,2,6,1,10,99,10,10,10,0,8,1,2,2,3,2,1,1, ,1,3,2,2,2,2
7149625,5,1,1,1,1,4,3,2,1,4,3,2218666,554666,4,2,2264000,2,1, ,20000,16000,1,3,2,46,1,4, ,3,2,6,2,7,5,5,7,0,10,8,1,2,2,2,1,1,2,5, ,1,2,2,2,2
7149625,5,1,1,1,1,4,3,2,1,4,3,2218666,554666,4,2,2264000,2,1, ,20000,16000,1,3,1,24,3,5, ,2,1,6,2,9,5,10,9,5,5,5,1,9,2,2,2,1,2,5, ,1,1,2,2,2
