DIRECTORIO,REGION,CANT_HOGARES_VIVIENDA,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,SECUENCIA_ENCUESTA_x,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas,SECUENCIA_P,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes
7122077,2,1,1,1,1,4,3,1,1,5,3,2561833,853944,3,1,600000, ,1, ,26000,17000,1,3,1,42,3,5, ,3,1,6,2,7,6,7,7,6,3,6,1,2,2,2,1,1,2,5, ,1,2,2,2,2
7122077,2,1,1,1,1,4,3,1,1,5,3,2561833,853944,3,1,600000, ,1, ,26000,17000,1,3,2,48,3,4, ,3,1,6,2,9,6,7,3,8,2,10,1,2,2,2,1,1,2,3, ,1,2,2,2,2
7122269,4,1,1,1,1,6,3,1,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200,1,3,2,47,1,6,1,2,2,6,1,10,5,4,6,10,0,6,1,3,2,4,2,1,2,3, ,4,2,2,2,2
7122269,4,1,1,1,1,6,3,1,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200,1,3,1,38,2,6,1,2,2,6,1,8,6,3,8,3,5,6,1,2,2,3,2,1,2,3, ,5,3,2,2,2
7122269,4,1,1,1,1,6,3,1,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200,1,3,2,22,3,5, ,2,1,6,2,10,5,10,8,10,0,10,1,2,2,2,1,1,2,9, ,2,2,2,2,2
7122269,4,1,1,1,1,6,3,1,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200,1,3,1,18,3,5, ,2,1,6,2,7,5,8,9,8,0,7,1,2,2,2,2,1,1, ,1,4,2,2,2,2
7122269,4,1,1,1,1,6,3,1,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200,1,2,2,12,3,5, ,1,1,6, , , , , , , , ,1,2,2,3,2,1,1, ,1,3, ,2,2,2
7122357,3,1,2,1,1,6,4, ,1,1,1,995416,497708,2,1,720000, , , , , ,1,3,1,66,1,2,1,3,3,1,1,10,10,6,10,10,0,10,2, ,2,3,2,1,2,3, ,1,2,2,2,2
7122357,3,1,2,1,1,6,4, ,1,1,1,995416,497708,2,1,720000, , , , , ,1,3,2,66,2,2,1,3,3,1,1,2,5,4,10,10,5,5,1,2,2,3,2,1,2,3, ,1,2,2,1,2
7122489,9,1,2,1,8,6,4,0,1,2,1,376666,376666,1,1,960000,1, , ,0, ,1,3,2,57,1,3, ,2,2,6,1,6,5,4,3,7,0,6,1,2,2,2,1,1,2,3, ,4,2,2,2,2
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,2,43,1,6,1,3,2,6,2,9,5,7,2,4,10,5,2, ,2,3,2,1,2,3, ,6,2,2,2,2
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,1,37,2,6,1,2,2,6,2,8,5,8,7,9,0,5,2, ,2,2,2,1,2,10, ,1,2,2,2,2
