DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7125674,3.0,1.0,2.0,1.0,4.0,4.0,2,3,2,1723481,430870,4,2,720000,1,1,1,40000,15000
7125760,3.0,1.0,2.0,1.0,4.0,3.0,5,4,1,2410296,1205148,2,1,400000,2,2,3,130000, 
7125826,3.0,2.0,1.0,1.0,4.0,3.0,1,3,3,958333,191666,5,1,1000000, ,1, ,32000,12000
7125959,6.0,1.0,2.0,1.0,4.0,1.0,1,3,2,45000,11250,4,1,98,2,2, ,100000, 
7126108,,,,,,,,3,1,175666,35133,5,1,990000,1,2, ,27500, 
7126307,9.0,1.0,1.0,1.0,4.0,4.0,2,4,2,1166666,583333,2,1,2000000, ,1, ,43000,22000
7126322,9.0,1.0,2.0,5.0,6.0,4.0,2,3,3,2318333,772777,3,1,300000,3,3, ,30000, 
7126330,9.0,1.0,1.0,8.0,6.0,4.0,1,3,2,1975000,493750,4,2,1200000,2,1, ,14000,8000
7126409,9.0,1.0,1.0,1.0,6.0,4.0,1,4,2,251666,125833,2,1,80000, , , ,1760,1250
7126413,9.0,1.0,1.0,1.0,6.0,4.0,1,2,1,366666,366666,1,1,50000, ,1, ,11600,11000
7126449,9.0,2.0,1.0,5.0,6.0,4.0, ,2,2,616666,308333,2,2,400000, , , , , 
7126569,1.0,1.0,1.0,1.0,6.0,3.0,1,4,3,385000,77000,5,2,300000,2,2, ,40000,25000
7126689,2.0,1.0,2.0,1.0,4.0,1.0,2,2,2,780000,195000,4,1,900000, ,2, ,25000,11000
7126690,2.0,1.0,1.0,1.0,4.0,3.0,2,4,4,1308333,654166,2,1,300000,1,2, ,15000, 
7126703,2.0,2.0,1.0,1.0,4.0,3.0,2,5,3,2600466,650116,4,1,960000, , , ,8600, 
7126736,2.0,1.0,2.0,1.0,4.0,1.0,2,3,2,657500,328750,2,1,450000,1,1, ,25000,18000
7126900,2.0,1.0,1.0,1.0,4.0,2.0,3,5,3,3961666,990416,4,1,1200000,2,2,15,120000,30000
7127053,4.0,1.0,2.0,1.0,6.0,1.0,1,3,2,956666,191333,5,1,400000,1,1, ,22000,20000
7127095,4.0,2.0,1.0,1.0,6.0,3.0,1,4,3,650000,162500,4,1,600000, ,1, ,38000, 
7127098,4.0,2.0,1.0,6.0,4.0,3.0,1,6,4,4572148,914429,5,1,800000,2,1, ,60000,12000
7127116,3.0,1.0,2.0,1.0,4.0,1.0,2,2,1,666666,222222,3,3,400000, ,1, ,20000,15000
7127232,3.0,2.0,1.0,1.0,6.0,4.0,2,4,3,1250000,312500,4,2,1800000, ,2, ,70000, 
7127342,9.0,1.0,1.0,8.0,7.0,4.0,1,6,5,150000,25000,6,6,98, , , ,21000, 
7127345,9.0,1.0,1.0,5.0,6.0,6.0,1,3,3,175000,19444,9,1,99, , , ,15000, 
